pulsd_title,pulsd_price,google_rating,google_total_ratings,restaurant_name,google_url,pulsd_address,google_review_summary,pulsd_url
$29 Bottomless Jazz Brunch For Two,29,4.2,113,The Ivy Room,https://www.google.com/maps/place/?q=place_id:ChIJD9KyfW1ZwokRzBn50hfrqfI,"420 Park Ave South, New York, NY 10016","Diners say this restaurant serves up delicious steak frites, burgers, and an impressive old fashioned. They also highlight the intimate and charming atmosphere, complete with live music and a cozy fireplace.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/the-ivy-room-bottomless-brunch-restaurant-nyc
$89 Caviar+Oysters Brunch For 2 & Bubbly,89,4.1,112,Number One Caviar,https://www.google.com/maps/place/?q=place_id:ChIJ2WPZKQlbwokRP85eL6NuRwE,"14 Wall Street, New York, NY 10005","People say this boutique offers a caviar-centric omakase and a variety of high-quality caviar. They also highlight the reasonable prices and the exclusive, cool vibe.

Other reviews mention the service can be impolite.",pulsd.com/new-york/promotions/number-one-caviar-brunch-restaurant-nyc
$59 90m Rooftop Bottomless Brunch For Two,59,4.1,825,Lighthouse Rooftop,https://www.google.com/maps/place/?q=place_id:ChIJnduXzuVfwokRk2VE0PeUdmM,"45-15 37th Street, Queens, NY 11101","Diners say this restaurant offers delicious brunch items like steak and eggs, chicken and waffles, and a mimosa tower, alongside tasty dinner options such as branzino, short rib egg rolls, and a bourbon burger. They also highlight the beautiful city views, especially from the rooftop, and the lively atmosphere with music and dancing.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/lighthouse-rooftop-bottomless-brunch-restaurant-nyc
"$49 Bottomless Brunch for Two, East Village",49,4.1,10,H&H Cantina,https://www.google.com/maps/place/?q=place_id:ChIJh_aRQHJZwokRUwOFiLymiZI,"103 1st Avenue, New York, NY 10003",,pulsd.com/new-york/promotions/h-and-h-cantina-bottomless-brunch-restaurant-east-village-nyc
$49 Epic 90 Minute Bottomless Brunch For Two,49,4.1,1338,Pink Taco,https://www.google.com/maps/place/?q=place_id:ChIJz_FvxaxZwokRArGOxX89Z0I,"7 Times Square, New York, NY 10036","People say this Mexican restaurant offers a good selection of tacos, including the OG Pink Taco and cauliflower taco, as well as a delicious chicken Caesar salad. They also highlight the friendly and attentive service, and the fun, lively atmosphere.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/pink-taco-bottomless-brunch-restaurant-nyc
$29 For A 2 Course Bottomless Brunch For Two,29,4.1,210,Pita & Beyond,https://www.google.com/maps/place/?q=place_id:ChIJnWerUIlZwokRhcxFGy7MgEM,"417 3rd Avenue, New York, NY 10016","People say this restaurant serves delicious tacos, birria, and enchiladas, as well as refreshing margaritas and smoothies. They also highlight the generous portions, good value, and friendly, welcoming service.

Some reviews mention the service can be slow.",pulsd.com/new-york/promotions/pita-and-beyond-bottomless-brunch-restaurant-nyc
$49 Gorgeous Bottomless Brunch for Two,49,4,442,Lowkey Garden Lounge,https://www.google.com/maps/place/?q=place_id:ChIJq6XOXS9fwokR40Kx0KrHhf0,"70-15 Austin Street, Queens, NY 11375","People say this restaurant offers amazing omelettes and other brunch dishes, as well as good drinks and hookah. They also highlight the cute and aesthetically pleasing setup, the fun and playful vibe, and the attentive service from the staff.

Other reviews mention the music can be loud.",pulsd.com/new-york/promotions/lowkey-garden-lounge-bottomless-brunch
$49 Rooftop 90 Minute Bottomless Brunch For 2,49,4,58,Boathouse Rooftop,https://www.google.com/maps/place/?q=place_id:ChIJfUhLwslfwokRqaOntngqnRE,"32-72 Steinway Street, Astoria, NY 11103","People say this restaurant offers delicious braised short ribs, ribeye steak, and lamb chops, as well as a variety of drinks and hookah flavors. They also highlight the beautiful decor, stunning rooftop views, and attentive service.

Other reviews mention the food can be overpriced.",pulsd.com/new-york/promotions/boathouse-rooftop-bottomless-brunch-restaurant-nyc
$59 Rooftop Bottomless Brunch For Two,59,3.9,658,Highkey Rainforest Rooftop,https://www.google.com/maps/place/?q=place_id:ChIJnT4Nc_pbwokRJP-nF525duk,"6 Platt Street, New York, NY 10038","People say this restaurant offers delicious lobster skewers, burger sliders, and sangria, and has a beautiful atmosphere with Instagram-worthy photo opportunities.

Other reviews mention the food can be bland and the service can be slow.",pulsd.com/new-york/promotions/highkey-rainforest-rooftop-bottomless-brunch-restaurant-nyc
$29 90 Minute Bottomless Brunch For Two,29,3.7,100,GuestHouse,https://www.google.com/maps/place/?q=place_id:ChIJP4wdOFZZwokRGUUMsXcwWv0,"265 Graham Avenue, Brooklyn, NY 11206","People say this restaurant offers delicious lamb chops, wings, and drinks, and has a great brunch experience.

Other reviews mention the food can be slow to arrive and the portions can be small.",pulsd.com/new-york/promotions/guesthouse-bottomless-brunch-restaurant-nyc
